#Key+A955,String,Size,Notes
TECHNAME_WEP_PDPhas,Point Defense Phaser
TECHDESC_WEP_PDPhas,Point defense adaptation of a phaser.
TECHNAME_WEP_PlsPhas,Pulsed Phaser
TECHDESC_WEP_PlsPhas,"A new technology which uses quantum superposition to combine multiple mono-frequency lasers into a single pulsed beam which is very hard to counter, since its frequency cannot be known until it interacts with your opponents ship, in real-time, thus defeating reflective armor."
TECHNAME_WEP_HvyPlsPhas,Heavy Pulsed Phaser
TECHDESC_WEP_HvyPlsPhas,A heavier version of a pulsed phaser which requires a medium turret.
TECHNAME_WEP_PlsPhasPD,Point Defense Pulsed Phaser
TECHDESC_WEP_PlsPhasPD,A point defense adaptation of pulsed phaser technology
TECHNAME_WEP_HCLas,Assault Laser
TECHDESC_WEP_HCLas,"A very large, fixed-mount laser cannon designed for long range beam combat against slow moving capital ships."
TECHNAME_WEP_Lancer,Lancer
TECHDESC_WEP_Lancer,"A very large, fixed-mount phased beam weapon designed to punch right through the hulls of enemy ships."
TECHNAME_WEP_CtngBm,Cutting Beam
TECHDESC_WEP_CtngBm,"A very large, fixed-mount beam weapon that fires a high-energy stream of anti-protons that cut through any solid material at very long ranges."
TECHNAME_WEP_PrtBm,Particle Beam
TECHDESC_WEP_PrtBm,"The first of the 'standard beams', a particle beam is a beam of charged particles that deliver intense heat and EM damage. Designed for large turrets or spinal mounts."
TECHNAME_WEP_NeutBm,Neutron Beam
TECHDESC_WEP_NeutBm,A large turret or spinal mount beam weapon that fires concentrated neutrons to deliver intense heat and kinetic damage to the target.
TECHNAME_WEP_PosiBm,Positron Beam
TECHDESC_WEP_PosiBm,A beam of antimatter particles that does intense explosive damage when it contacts solid positive matter. It causes massive environmental damage against planets but is harmless against shields.
TECHNAME_WEP_MesBm,Meson Beam
TECHDESC_WEP_MesBm,A directed beam of sub-atomic particles that penetrates solid matter and shielding to detonate on command causing massive internal damage.
TECHNAME_WEP_GravBm,Graviton Beam
TECHDESC_WEP_GravBm,A directed beam of graviton particles that causes stress damage to the entire ship at once and also serves as a tractor beam to hold the target in place.
TECHNAME_WEP_Dsrptr,Disruptor Torpedo
TECHDESC_WEP_Dsrptr,A charged ball of electrical plasma that passes the energy along to the target on impact. Does superficial damage and has a chance of shorting out some systems of the target ship.
TECHNAME_WEP_DsrPrj,Disruptor Bolt Projector
TECHDESC_WEP_DsrPrj,A Super large projector mount capable of firing many individual disruptor bolts in a cloud of destruction
TECHNAME_WEP_EmPulse,Electro-Magnetic Pulsar
TECHDESC_WEP_EmPulse,A ball of electrical plasma that detonates and affects a large area with an EM pulse capable of shorting out enemy ship systems temporarily.
TECHNAME_WEP_PlsTrp,Pulsar Torpedo
TECHDESC_WEP_PlsTrp,A guided ball of electrical plasma that is capable of shorting out enemy ship systems temporarily.
TECHNAME_WEP_PhotTrp,Photon Torpedo I
TECHDESC_WEP_PhotTrp,"A self-sustaining field of lased light wrapped around an em field. This is a rapid pulse, direct fire, long-range torp that cannot be shot down. Scientists suspect it can be stopped by a reflector field."
TECHNAME_WEP_PhotTrp2,Photon Torpedo II
TECHDESC_WEP_PhotTrp2,"Improved range and accuracy. Fires in burst of two."
TECHNAME_WEP_PhotTrp3,Photon Torpedo III
TECHDESC_WEP_PhotTrp3,"Fires in bursts of 4 torpedoes doubling effective firepower."
TECHNAME_WEP_PlsmTrp,Plasma Torpedo
TECHDESC_WEP_PlsmTrp,A tracking sphere of high-energy plasma that gets stronger over distance as the hydrogen inside begins to reach fusion temperatures. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
TECHNAME_WEP_FusTrp,Fusion Torpedo
TECHDESC_WEP_FusTrp,A tracking sphere of Fusing plasma that gets stronger over distance as the fusion process grows towards critical mass. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
TECHNAME_WEP_DtFsTrp,Advanced Fusion Torpedo
TECHDESC_WEP_DtFsTrp,"Advanced smart torpedo with much highter blast, power, better durability and range. Most importantly, it selects a new target if its current target is destroyed before impact. Hovewer, it also reloads more slowly."
TECHNAME_WEP_AmTrp,Antimatter Torpedo
TECHDESC_WEP_AmTrp,A tracking sphere of antimatter deuterium contained in a magnetic field that releases upon impact allowing the antimatter to explode. The destructive energy grows over time as the antimatter begins the fusion process but it can be shot down and as the sphere takes more damage its own explosive force is disrupted.
TECHNAME_WEP_DtAmTrp,Advanced Antimatter Torpedo
TECHDESC_WEP_DtAmTrp,"Advanced smart torpedo with much highter blast, power, better durability and range. Most importantly, it selects a new target if its current target is destroyed before impact. Hovewer, it also reloads more slowly."
TECHNAME_WEP_Missile,Standard Warhead Missile
TECHDESC_WEP_Missile,Standard ship-to-ship missiles
TECHNAME_WEP_PrjMsl,Huge dual missile launcher
TECHDESC_WEP_PrjMsl,Huge dual missile launcher
TECHNAME_WEP_FastPrjMsl,Huge fast missile launcher
TECHDESC_WEP_FastPrjMsl,Huge fast missile launcher
TECHNAME_WEP_SmMis,Small Warhead Missile
TECHDESC_WEP_SmMis,Smaller version of the standard warhead missile for a small mount
TECHNAME_WEP_DualSmMis,Dual Small Missile Launcher
TECHDESC_WEP_DualSmMis,Dual small missile launcher
TECHNAME_WEP_FMsl,Fast Missiles
TECHDESC_WEP_FMsl,"A faster version of missiles which come with a faster turret, offering greater chances to get through point defense due to speed and overwhelming numbers. Can also catch targets that could outrun the slower, standard missiles.
TECHNAME_WEP_CorMsl,Corrosive Missile
TECHDESC_WEP_CorMsl,A large missile capable of dispersing a cloud of powerful molecular acid contained in mini-spheres that bind to a passing ship's hull and eat into it causing damage over time. Requires a large turret mount.
TECHNAME_WEP_NanMsl,Nanite Missile
TECHDESC_WEP_NanMsl,A large missile capable of dispersing a large cloud of powerful nano-disassemblers that bind to a passing ship's hull and do a large amount of erosion damage over time. Requires a large turret mount.
TECHNAME_WEP_NdMsl,Node Missile
TECHDESC_WEP_NdMsl,A smart missile using miniaturized node drive technology that allows them to travel to and strike another star system on their own.
TECHNAME_WEP_Nukes,Explosive Warhead
TECHDESC_WEP_Nukes,"Missiles are an old technology that keeps on giving. Missiles track your enemies and can reach great distances, as well as change their heading due to their onboard engines. System defenses often rely heavily upon missiles due to their ability to strike distant targrets and protect the local space from intruders. One nice feature of missiles is that they are upgradable as new warhead technologies become availalble, without needing to redeisgn the host ships or satellites."
TECHNAME_WEP_PMsl,Planetary Missiles
TECHDESC_WEP_PMsl,Planetary Missiles that automatically fire upon intruders.
TECHNAME_WEP_NukeWhd,Nuclear Warhead
TECHDESC_WEP_NukeWhd,"Allows missiles to carry a more powerful, nuclear, warhead. Increase in damage is estimated to be +50% over explosive warheads."
TECHNAME_WEP_GmaWhd,Shaped Nuclear Warhead
TECHDESC_WEP_GmaWhd,"A powerful optimized nuclear warhead for missiles that concentrates the radiation in a directed blast, for an estimated +100% damage over explosive warheads."
TECHNAME_WEP_FusWhd,Fusion Warhead
TECHDESC_WEP_FusWhd,"A more powerful, fusion based warhead, for missiles. Increased damage over explosive warheads by an estimated +250%."
TECHNAME_WEP_AmWhd,Antimatter Warhead
TECHDESC_WEP_AmWhd,"Using antimatter for missile warheads is estimated to increase damage output over the original explosive missiles by +400%!"
TECHNAME_WEP_NukMine,Nuclear Space Mine
TECHDESC_WEP_NukMine,"Smart nuclear bomb designed to track and explode close to a passing enemy ship. Deployed by minelayer ships and satellites during combat."
TECHNAME_WEP_FusMine,Fusion Space Mine
TECHDESC_WEP_FusMine,A more powerful fusion bomb designed to track and explode close to a passing enemy ship. Deployed from minelayer ships and satellites during combat.
TECHNAME_WEP_AmMine,Antimatter Space Mine
TECHDESC_WEP_AmMine,A much more powerful antimatter bomb designed to track and explode close to a passing enemy ship. Deployed from minelayer ships and satellites during combat.
TECHNAME_WEP_CorMine,Corrosive Space Mine
TECHDESC_WEP_CorMine,This mine creates a cloud of weaponized corrosive gasses that ignores shields and eats away directly at enemy ships hulls
TECHNAME_WEP_NanMine,Nanite Space Mine
TECHDESC_WEP_NanMine,This mine creates a cloud of weaponized nanites that bore into enemy ship hulls and transforms as much as possible into an industrial goo.
TECHNAME_WEP_GrvMine,Gravity Space Mine
TECHDESC_WEP_GrvMine,"A mine using small antimatter reaction to power a field generator that produces intense gravity waves around the mine for a brief time, pulling ships and missiles toward it."
TECHNAME_WEP_ImpMine,Implosion Space Mine
TECHDESC_WEP_ImpMine,A gravity mine combined with a fusion element that generates a miniature artificial sun and pulls ships into its fire.
TECHNAME_WEP_LpMine,Leap Space Mine
TECHDESC_WEP_LpMine,A mine with a high burst micro-fusion drive attached which causes the mine to shoot towards a proximity target at high speed in a straight line.
TECHNAME_WEP_ClkMine,Cloaked Space Mine
TECHDESC_WEP_ClkMine,This technology allows for a small cloak generator to be attached to a standard fusion mine rendering them invisible to visual and standard sensors. The energy drain caused by the cloaking module does reduce the active lifespan of the mine though.
TECHNAME_WEP_DFMsl,Direct Fire Missile Rack
TECHDESC_WEP_DFMsl,"A large array of missile tubes mounted on a medium turret station. These unguided missiles are much smaller than the standard missile and pack a smaller warhead, though they save some space for explosive force by not using large electronic modules."
TECHNAME_WEP_GsDrvr,Gauss Driver
TECHDESC_WEP_GsDrvr,These ballistic weapons use magnetic fields to hurl dense metallic spheres at very high speeds at a target. The spheres do intense kinetic damage at impact.
TECHNAME_WEP_MasDrvr,Mass Driver
TECHDESC_WEP_MasDrvr,A heavier ballistic system using advanced power systems to magnetically hurl larger rounds and designed for a medium turret mount.
TECHNAME_WEP_HvyDrvr,Heavy Driver
TECHDESC_WEP_HvyDrvr,Heavy barrel mass drivers that hurl very large kinetic rounds that do very heavy damage.
TECHNAME_WEP_APGauss,Armor Piercing Gauss
TECHDESC_WEP_APGauss,"A shaped refinement to the standard driver ballistic slug designed to penetrate enemy ship armor deeper with less chance of ricochet."
TECHNAME_WEP_APMasDrvr,Armor Piercing Mass Driver
TECHDESC_WEP_APMasDrvr,"A shaped refinement to the standard driver ballistic slug designed to penetrate enemy ship armor deeper with less chance of ricochet."
TECHNAME_WEP_APHvyDrvr,Armor Piercing Heavy Driver
TECHDESC_WEP_APHvyDrvr,"A shaped refinement to the standard driver ballistic slug designed to penetrate enemy ship armor deeper with less chance of ricochet."
TECHNAME_WEP_VRFtech,VRF Technology
TECHDESC_WEP_VRFtech,The use of quantum conductors to supercharge magnetic coils and allow for a increase in the rate of fire of ballistic weapons.
TECHNAME_WEP_PDtech,Point Defense Focus
TECHDESC_WEP_PDtech,"Advances in robotics has allowed for a high density of point defense guns to operate simultaneously in close proximity with unprecedented accuracy."
TECHNAME_WEP_BrstrDrvr,Bursters
TECHDESC_WEP_BrstrDrvr,A heavy driver that hurls a container that detonates at a set distance and spraying the area with hyper velocity shrapnel. Very good at damaging tight groups of enemy ships.
TECHNAME_WEP_ShldDrvr,Shield Breaker
TECHDESC_WEP_ShldDrvr,A ferrous-silicate dust that is specially designed to disrupt high-energy shields and bring them down. This material is delivered by Heavy Driver cannons and will do massive damage to shields but no actual damage to the ship itself.
TECHNAME_WEP_SgeDrvr,Siege Driver
TECHDESC_WEP_SgeDrvr,Massive Magnetic Drivers that literally hurl chunks of iron/nickel asteroids at large targets for devastating damage. Also known as World Killers for their terrible power at planetary bombardment. This weapon can only be fitted on huge starships.
TECHNAME_WEP_ThmpDrvr,Thumpers
TECHDESC_WEP_ThmpDrvr,This weapon uses an anti-gravity generator mounted inside a Heavy Driver round to create an aimed field effect which will push any vessel away from the center of the field.
TECHNAME_WEP_NeutRnd,Neutronium Rounds
TECHDESC_WEP_NeutRnd,A method of creating ballistic ammunition out of super-dense neutronium. This increases the damage potential of all ballistic rounds by +50%.
TECHNAME_WEP_ErgDrain,Leech Rounds
TECHDESC_WEP_ErgDrain,Highly specialized large driver shells that bind to the hull of the target and punch invasive superconductor spikes into the target ships power conduits. The leach round will then drain power from the target ship for 20 seconds before burning out and falling away. This results in slower recharge rate for weapons on the target ship as well as lower drive thrusts.
TECHNAME_WEP_RedBmr,Beamer
TECHDESC_WEP_RedBmr,"A sustained laser beam for small turret mounts. Beamers don't have the range of lasers, but they have even better accuracy and do not fade over distance."
TECHNAME_WEP_GrnBmr,Improved Beamer
TECHDESC_WEP_GrnBmr,An improved sustained laser beam for small turret mounts.
TECHNAME_WEP_UvBmr,Ultraviolet Beamer
TECHDESC_WEP_UvBmr,A sustained high energy laser beam for small turret mounts.
TECHNAME_WEP_XrayBmr,X-Ray Beamer
TECHDESC_WEP_XrayBmr,A sustained ultra high energy laser beam for small turret mounts.
TECHNAME_WEP_PdBmr,Point Defense Beamer
TECHDESC_WEP_PdBmr,Point defense beamers for small turret mounts.
TECHNAME_WEP_PdLas,Point Defense Pulsed Laser
TECHDESC_WEP_PdLas,Point defense lasers for small turret mounts.
TECHNAME_WEP_PDBal,Point Defense Gauss cannon
TECHDESC_WEP_PDBal,Point defense gauss cannons for small turret mounts.
TECHNAME_WEP_MesProj,Disintegrator Ray
TECHDESC_WEP_MesProj,"This advanced projector technology focuses a wide beam that disrupts all pi mesons in the target area and if the disruption is allowed to complete its cycle it results in a massive disintegration of matter at the target point with the expected devastating energy release associated with such an event. If the beam should lose its target point or be stopped before the cycle time is complete, no damage will be done to the target."
TECHNAME_WEP_DsrptrWhp,Disruptor Whip
TECHDESC_WEP_DsrptrWhp,"A Zuul-only technology that runs a disruptor charge through the harpoon, shutting down weapon systems in the section it hits. [S] affects all mounts, [L] affects small and medium turrets, and [H] only shuts down small turrets."
TECHNAME_WEP_GluTrp,Gluonic Torpedo
TECHDESC_WEP_GluTrp,A self-sustaining field of charged gluons contained in an EM field. Capable of penetrating deflectors as well as circumventing energy absorbers.
TECHNAME_WEP_MesTrp,Mesonic Torpedo
TECHDESC_WEP_MesTrp,A self-perpetuating Meson field that can be launched at long range. Capable of penetrating any defense except meson shields.
TECHNAME_WEP_MWMsl,Multi-Warhead Missile
TECHDESC_WEP_MWMsl,A large armored missile that carries multiple independent mini missiles that burst out and make their own way to the target once the missile is inside Point defense Range. Requires a large turret mount.
TECHNAME_WEP_KKMsl,Kinetic-Kill Missile
TECHDESC_WEP_KKMsl,"Using neutronium alloys as a non-explosive warhead coupled with advancements in ionic thrusters, the Kinetic Kill missiles uses only the impact damage of a very high velocity collision to damage or destroy its target while imparting a large kinetic vector to the target should it survive."
TECHNAME_WEP_SnpCanDrvr,Gauss Sniper Cannon
TECHDESC_WEP_SnpCanDrvr,A very high velocity variant of the gauss cannon that uses a nano-rifled barrel to create a very long range very accurate at long distances gauss weapon. The speed of the shot and slow barrel tracking makes the weapon less useful at close ranges though.
TECHNAME_WEP_StrmDrvr,Stormers
TECHDESC_WEP_StrmDrvr,A very rapid-fire driver delivery system that fires an intense stream of gauss cannon rounds onto a target. Slow tracking rate but very effective at hammering away against slower targets.
TECHNAME_WEP_APStrmDrvr,AP Stormers
TECHDESC_WEP_APStrmDrvr,A very rapid-fire driver delivery system that fires an intense stream of armor piercing gauss rounds onto a target. Slow tracking rate but very effective at hammering away against slower targets.
TECHNAME_WEP_HStrmDrvr,Heavy Stormers
TECHDESC_WEP_HStrmDrvr,Heavy barrel version of the Stormer that hurls streams of mass driver rounds that do heavy damages.
TECHNAME_WEP_APHStrmDrvr,Heavy AP Stormers
TECHDESC_WEP_APHStrmDrvr,A very rapid-fire driver delivery system that fires an intense stream of armor piercing mass driver rounds onto a target. Slow tracking rate but very effective at hammering away against slower targets.
TECHNAME_WEP_AMLeapMine,Antimatter Leap Space Mine
TECHDESC_WEP_AMLeapMine,A mine with a high burst micro-fusion drive attached which causes the mine to shoot towards a proximity target at high speed in a straight line.
TECHNAME_WEP_AMClkMine,Antimatter Cloaked Mine
TECHDESC_WEP_AMClkMine,This technology allows for a small cloak generator to be attached to a standard fusion mine rendering them invisible to visual and standard sensors. The energy drain caused by the cloaking module does reduce the active lifespan of the mine though.
TECHNAME_WEP_DualMsl,Dual Missile Launchers
TECHDESC_WEP_DualMsl,A medium mount turret that fires two missiles per volley
TECHNAME_WEP_DualHvyMsl,Dual Heavy Missile Launchers
TECHDESC_WEP_DualHvyMsl,A large mount turret that fires two heavy missiles per volley
TECHNAME_WEP_HvyDsrCan,Heavy Disruptor Cannon
TECHDESC_WEP_HvyDsrCan,Further miniaturization of disruptor technology now allows for them to be fired from a large mounted weapon as a heavy bolt
TECHNAME_WEP_DsrCan,Disruptor Cannon
TECHDESC_WEP_DsrCan,Greatly advanced miniaturization of disruptor technology now allows for them to be fired from a medium turret
TECHNAME_WEP_DualDsrCan,Dual Disruptor Cannons
TECHDESC_WEP_DualDsrCan,"Dual barrelled disruptor cannons for a medium mount. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualPlsmCan,Dual Plasma Cannon
TECHDESC_WEP_DualPlsmCan,"Dual barrelled plasma cannon for a medium mount. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualFusCan,Dual Fusion Cannon
TECHDESC_WEP_DualFusCan,"Dual barrelled fusion cannon for a medium mount. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualAmCan,Dual Antimatter Cannon
TECHDESC_WEP_DualAmCan,"Dual barrelled antimatter cannon for a medium mount. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_EmtPrj,Emitter Projector
TECHDESC_WEP_EmtPrj,Projector mounted emitter. The largest emitter possible.
TECHNAME_WEP_DualBmr,Dual Ultraviolet Beamers
TECHDESC_WEP_DualBmr,"Dual barrelled ultraviolet beamer turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualAdvBmr,Dual X-Ray Beamers
TECHDESC_WEP_DualAdvBmr,"Dual barrelled x-ray beamer turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualLas,Dual Ultraviolet Lasers
TECHDESC_WEP_DualLas,"Dual barrelled ultraviolet laser turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualAdvLas,Dual X-Ray Lasers
TECHDESC_WEP_DualAdvLas,"Dual barrelled X-ray laser turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualPhas,Dual Phasers
TECHDESC_WEP_DualPhas,"Dual barrelled phaser laser turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualHvyPhas,Dual Heavy Phasers
TECHDESC_WEP_DualHvyPhas,"Dual barrelled heavy phaser turret for medium mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualPlsPhas,Dual Pulsed Phasers
TECHDESC_WEP_DualPlsPhas,"Dual barrelled pulsed phaser turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualHvyPlsPhas,Dual Heavy Pulsed Phasers
TECHDESC_WEP_DualHvyPlsPhas,"Dual barrelled heavy pulsed phaser turret for medium mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_PDShotgun,Point Defense Shotgun Cannon
TECHDESC_WEP_PDShotgun,Experimental point defense gauss shotgun cannons - designed to plaster the entire area with shells. Best against densly packed drone swarms or the like.
TECHNAME_WEP_DualGauss,Dual Gauss Cannons
TECHDESC_WEP_DualGauss,"Dual barrelled gauss turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_SnpMasDrvr,Mass Driver Sniper Cannon
TECHDESC_WEP_SnpMasDrvr,"A varient on the mass driver cannon which trades rate of fire for accuracy and range. However, the turret is designed for precise aim, not rapidly changing targets, so it isn't necessarily the best short-ranged weapon available."
TECHNAME_WEP_DualMasDrvr,Dual Mass Drivers
TECHDESC_WEP_DualMasDrvr,"Dual barrelled mass driver turret for medium mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_SnpHvyDrvr,Heavy Sniper Cannon
TECHDESC_WEP_SnpHvyDrvr,"A varient on the heavy mass driver cannon which trades rate of fire for accuracy and range. However, the turret is designed for precise aim, not rapidly changing targets, so it isn't necessarily the best short-ranged weapon available."
TECHNAME_WEP_DualHvyDrvr,Dual Heavy Drivers
TECHDESC_WEP_DualHvyDrvr,"Dual barrelled heavy driver turret for large mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_TriHvyDrvr,Triple Heavy Drivers
TECHDESC_WEP_TriHvyDrvr,The ultimate heavy driver turret for a projector mount
TECHNAME_WEP_LtAutCan,Autocannons
TECHDESC_WEP_LtAutCan,"A fast and nimble weapon designed for high-volume discharge of sub-gauss munitions. However, due to the extreme rate of fire, these guns are not the most accurate, and are necessarily short-ranged."
TECHNAME_WEP_AutCan,Autocannons
TECHDESC_WEP_AutCan,"A fast and nimble weapon designed for high-volume discharge of gauss munitions. However, due to the extreme rate of fire, these guns are not the most accurate, and are necessarily short-ranged."
TECHNAME_WEP_HvyAutCan,Heavy Autocannons
TECHDESC_WEP_HvyAutCan,"A fast and nimble weapon designed for high-volume discharge of mass driver munitions. However, due to the extreme rate of fire, these guns are not the most accurate, and are necessarily short-ranged."
TECHNAME_WEP_DualLtAutCan,Dual Autocannons
TECHDESC_WEP_DualLtAutCan,"Dual barrelled light autocannon turret for small mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualAutCan,Dual Autocannons
TECHDESC_WEP_DualAutCan,"Dual barrelled autocannon turret for medium mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_DualHvyAutCan,Dual Heavy Autocannons
TECHDESC_WEP_DualHvyAutCan,"Dual barrelled heavy autocannon turret for large mounts. Dual barrelled weapons fire at a slower pace compared to single barel versions, for an effective 1.5x firepower."
TECHNAME_WEP_HugeStrmDrvr,Huge Stormers
TECHDESC_WEP_HugeStrmDrvr,"Scaled to dedicated huge gun mounts, the huge stormer is able to fire a burst of heavy mass driver rounds with reasonable accuracy at range."
TECHNAME_WEP_APHugeStrmDrvr,Huge Armor-Piercing Stormers
TECHDESC_WEP_APHugeStrmDrvr,"Scaled to dedicated huge gun mounts, the huge stormer is able to fire a burst of heavy armor-piercing mass driver rounds with reasonable accuracy at range."
TECHNAME_XNC_TrnsHum2,Translate Latin
TECHDESC_XNC_TrnsHum2,"This deeper understanding of this race's common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
TECHNAME_XNC_IncHum,Incorporate Human
TECHDESC_XNC_IncHum,"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
TECHNAME_XNC_AdctHum,Addict Human
TECHDESC_XNC_AdctHum,"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the human species and to which they have very little resistance. This results in a large bonus for trade routes into Human space, and a slow decline in human production due to addiction problems as well as an increased chance of planetary surrender."
TECHNAME_XNC_TempHum,Human Temperance
TECHDESC_XNC_TempHum,This development is in response to a dependency spreading though the human portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
TECHNAME_XNC_TrnsHum3,Translate Hanzi
TECHDESC_XNC_TrnsHum3,This deeper understanding of this race's highest governmental and scientific language allows you to access the deepest levels of human culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
TECHNAME_XNC_SubHum,Subjugate Human
TECHDESC_XNC_SubHum,"Allows you to take full control of a human culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker human empires into your own without firing a shot."
TECHNAME_XNC_AccHum,Accommodate Human
TECHDESC_XNC_AccHum,"Complete understanding of human physiology coupled with the social sciences allows you to integrate the life support needs of human seamlessly into your culture, thus removing the need to take into account planetary hazard ratings for them."
TECHNAME_XNC_ProfHum,Proliferate Human
TECHDESC_XNC_ProfHum,This technology makes your worlds and culture more hospitable to humans and gives them the ability to spontaneously attract human civilian populations as well as increasing the overall alien population limit on all your worlds.
TECHNAME_XNC_TrnsHvr2,Translate K'en-Ken
TECHDESC_XNC_TrnsHvr2,"This deeper understanding of this race's common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
TECHNAME_XNC_IncHvr,Incorporate Hiver
TECHDESC_XNC_IncHvr,"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
TECHNAME_XNC_AdctHvr,Addict Hiver
TECHDESC_XNC_AdctHvr,"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the Hiver species and to which they have very little resistance. This results in a large bonus for trade routes into Hiver space, and a slow decline in Hiver production due to addiction problems as well as an increased chance of planetary surrender."
TECHNAME_XNC_TempHvr,Hiver Temperance
TECHDESC_XNC_TempHvr,This development is in response to a dependency spreading though the Hiver portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
TECHNAME_XNC_TrnsHvr3,Translate Tcho'to-Ken
TECHDESC_XNC_TrnsHvr3,This deeper understanding of this race's highest governmental and scientific language allows you to access the deepest levels of Hiver culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
TECHNAME_XNC_SubHvr,Subjugate Hiver
TECHDESC_XNC_SubHvr,"Allows you to take full control of a Hiver culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker Hiver empires into your own without firing a shot."
TECHNAME_XNC_AccHvr,Accommodate Hiver
TECHDESC_XNC_AccHvr,"Complete understanding of Hiver physiology coupled with the social sciences allows you to integrate the life support needs of Hivers seamlessly into your culture without disrupting your own citizens, thus removing the need to take into account planetary hazard ratings for them."
TECHNAME_XNC_ProfHvr,Proliferate Hiver
TECHDESC_XNC_ProfHvr,This technology makes your worlds and culture more hospitable to Hivers and gives them the ability to spontaneously attract Hiver civilian populations as well as increasing the overall alien population limit on all your worlds.
TECHNAME_XNC_TrnsTrk2,Translate Gutter Dialect
TECHDESC_XNC_TrnsTrk2,"This deeper understanding of this race's common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
TECHNAME_XNC_IncTrk,Incorporate Tarka
TECHDESC_XNC_IncTrk,"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
TECHNAME_XNC_AdctTrk,Addict Tarka
TECHDESC_XNC_AdctTrk,"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the Tarka species and to which they have very little resistance. This results in a large bonus for trade routes into Tarkasian space, and a slow decline in Tarka production due to addiction problems as well as an increased chance of planetary surrender."
TECHNAME_XNC_TempTrk,Tarka Temperance
TECHDESC_XNC_TempTrk,This development is in response to a dependency spreading though the Tarka portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
TECHNAME_XNC_TrnsTrk3,Translate Kona Kai
TECHDESC_XNC_TrnsTrk3,This deeper understanding of this race's highest governmental and scientific language allows you to access the deepest levels of Tarkasian culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
TECHNAME_XNC_SubTrk,Subjugate Tarka
